"","game_dates","white_player","white_elo","black_player","black_elo","time_control","opening_code","opening","notations","final_position","match_result","game_link"
"11","2023.10.09","BrownInTown94"," 945","dillpickle0077"," 914","60+1","ECO D07","Queens-Gambit-Declined-Chigorin-Defense-3.Nc3-dxc4","1. d4  d5 2. c4  Nc6 3. Nc3  dxc4 4. e4  Bg4 5. Qxg4  Nxd4 6. Qd1  Nf3+ 7. Qxf3 1-0","r2qkbnr/ppp1pppp/8/8/2p1P3/2N2Q2/PP3PPP/R1B1KBNR b KQkq -","Termination BrownInTown94 won by resignation","https://www.chess.com/game/live/90617358311"
"12","2023.10.09","BrownInTown94"," 953","GregDB77"," 917","60+1","ECO D10","Slav-Defense-3.Nc3-Nf6-4.Bg5","1. d4  d5 2. c4  c6 3. Nc3  Nf6 4. Bg5  Bf5 5. e3  e6 6. Bd3  Bxd3 7. Qxd3  Be7 8. cxd5  Nxd5 9. Bxe7  Qxe7 10. Nf3  Nxc3 11. bxc3  Nd7 12. O-O  O-O 13. Rab1  h6 14. Rxb7  a5 15. Ne5  Rfd8 16. Nxc6  Qa3 17. Nxd8  Rxd8 18. Qb5  Nf6 19. Ra7  Qxa2 20. Rxa5  Qc2 21. c4  Ne4 22. c5  Nc3 23. Qb6  Rd5 24. Ra8+  Kh7 25. Qa5  Ne2+ 26. Kh1  Kg6 27. Qa2  Qc4 28. Ra4  Qb5 29. Ra5  Qb4 30. h3  Nc3 31. Qd2  Ne4 32. Qxb4 1-0","8/5pp1/4p1kp/R1Pr4/1Q1Pn3/4P2P/5PP1/5R1K b - -","Termination BrownInTown94 won by resignation","https://www.chess.com/game/live/90617377611"
"13","2023.10.09","BrownInTown94"," 936","Lernest"," 953","60+1","ECO D10","Slav-Defense","1. d4  c6 2. c4  d5 3. Nc3  Bf5 4. Nf3  dxc4 5. e4  Be6 6. Ng5  b5 7. d5  cxd5 8. exd5  Bf5 9. Qf3  g6 10. g4  Bc8 11. Qxf7+  Kd7 12. Qe6+  Kc7 13. Bf4+  Kb7 14. Qe4  Bxg4 15. d6+  Kc8 16. Bh3  Bxh3 17. Nxh3  exd6 18. Rd1  Qe7 0-1","rnk2bnr/p3q2p/3p2p1/1p6/2p1QB2/2N4N/PP3P1P/3RK2R w K -","Termination Lernest won on time","https://www.chess.com/game/live/90618646249"
"14","2023.10.10","BrownInTown94"," 955","27z27"," 843","60+1","ECO A40","Englund-Gambit-2.dxe5-Nc6-3.Nf3-Qe7","1. d4  e5 2. dxe5  Nc6 3. Nf3  Qe7 4. Nc3  Nxe5 5. Nxe5  Qxe5 6. Bd2  Bb4 7. e3  Nf6 8. Bd3  O-O 9. O-O  b6 10. a3  Bxc3 11. Bxc3  Qd6 12. Qf3  Rb8 13. Rad1  Bb7 14. Qh3  Qe7 15. Bxf6  Qxf6 16. Qxh7# 1-0","1r3rk1/pbpp1ppQ/1p3q2/8/8/P2BP3/1PP2PPP/3R1RK1 b - -","Termination BrownInTown94 won by checkmate","https://www.chess.com/game/live/90710985229"
"15","2023.10.11","BrownInTown94"," 946","mas_land"," 930","60+1","ECO D30","Queens-Gambit-Declined","1. d4  e6 2. c4  d5 3. Nc3  Bb4 4. Bd2  Nf6 5. a3  Ba5 6. b4  Bxb4 7. axb4  O-O 8. e3  dxc4 9. Bxc4  Nc6 10. Nf3  Nxb4 11. O-O  b6 12. Ne5  c6 13. Ne4  Nxe4 14. Bxb4  c5 15. Ba3  Re8 16. Bd3  Nc3 17. Qh5  g6 18. Qf3  Qc7 19. dxc5  Bb7 20. Qg3  f6 21. Nxg6  hxg6 22. Qxg6+  Qg7 23. Qxg7+  Kxg7 24. Rac1  Nd5 25. e4  Nf4 26. Bb1  bxc5 27. Bxc5  f5 28. e5  Be4 29. Bxe4  Ne2+ 30. Kh1  Nxc1 31. Rxc1  fxe4 32. Bd6  Rac8 0-1","2r1r3/p5k1/3Bp3/4P3/4p3/8/5PPP/2R4K w - -","Termination mas_land won on time","https://www.chess.com/game/live/90792032027"
"16","2023.10.11","BrownInTown94"," 953","ricsalvares"," 954","60+1","ECO D20","Queens-Gambit-Accepted-Central-Variation-Alekhine-System-4.Nc3","1. d4  d5 2. c4  dxc4 3. Nc3  Nf6 4. e4  Nc6 5. Nf3  Bg4 6. d5  Bxf3 7. Qxf3  Ne5 8. Qf5  Qd6 9. Bxc4  Nxc4 10. Bf4  Qd7 11. e5  Nxd5 12. Rd1  Nxb2 13. e6  Qxe6+ 14. Qe4  Qxe4+ 15. Nxe4  Nxd1 16. O-O  Nxf4 17. Rxd1  e6 18. Ng5  Be7 19. Ne4  O-O 20. g3  Ne2+ 21. Kg2  Rad8 22. Re1  Nd4 23. h4  Nf5 24. g4  Nxh4+ 25. Kg3  Ng6 26. f4  Bd6 27. Nxd6  Rxd6 28. f5  Ne7 29. f6  gxf6 30. Rh1  Ng6 31. g5  fxg5 32. Kg4  Rd5 33. Rc1  c5 34. a4  b6 35. a5  Kg7 36. axb6  axb6 37. Rb1  Rb8 38. Kg3  Ne5 39. Kf2  f5 40. Re1  h5 41. Kg2  Kf6 42. Kf2  h4 43. Rh1  f4 44. Kg2  Kf5 45. Re1  Rd3 46. Re2  Ng4 47. Kg1  e5 48. Rg2  e4 49. Re2  f3 50. Re1  e3 51. Rf1  e2 0-1","1r6/8/1p6/2p2kp1/6np/3r1p2/4p3/5RK1 w - -","Termination ricsalvares won on time","https://www.chess.com/game/live/90804586495"
"17","2023.10.12","BrownInTown94"," 970","Wheatbackpenny"," 951","60+1","ECO D06","Queens-Gambit-Declined-Marshall-Defense-3.Nc3","1. d4  d5 2. c4  Nf6 3. Nc3  Bf5 4. Bg5  Nc6 5. e3  e6 6. cxd5  exd5 7. Bb5  h6 8. Bh4  g5 9. Bg3  Ne4 10. Nxe4  Bxe4 11. Nf3  Qd7 12. O-O  a6 13. Bxc6  Qxc6 14. Rc1  Qe6 15. Rxc7  Bd6 16. Qa4+  Kf8 17. Bxd6+  Qxd6 18. Rfc1  Kg7 19. Ne5  Kf6 20. Rxf7+  Ke6 21. f3  Bg6 22. Rd7  Qf8 23. Rc6+  Kf5 24. g4# 1-0","r4q1r/1p1R4/p1R3bp/3pNkp1/Q2P2P1/4PP2/PP5P/6K1 b - g3","Termination BrownInTown94 won by checkmate","https://www.chess.com/game/live/90860978625"
"18","2023.10.12","BrownInTown94"," 972","TheWyguy55"," 1067","60+1","ECO A40","Englund-Gambit-2.dxe5-Nc6-3.Nf3-Qe7","1. d4  e5 2. dxe5  Nc6 3. Nf3  Qe7 4. Nc3  Nxe5 5. Bf4  Nxf3+ 6. gxf3  Nf6 7. Qd2  d6 8. O-O-O  Qd7 9. e4  Be7 10. Qe3  Nh5 11. Bg5  Bxg5 12. Qxg5  g6 13. Qh6  Qe7 14. Bc4  Qf8 15. Qg5  Be6 16. Bxe6  fxe6 17. e5  d5 18. f4  Qe7 19. Qg4  O-O-O 20. Kb1  Rhf8 21. Nb5  a6 22. Nc3  Rxf4 23. Qe2  Qf7 24. Rhf1  Rf5 0-1","2kr4/1pp2q1p/p3p1p1/3pPr1n/8/2N5/PPP1QP1P/1K1R1R2 w - -","Termination TheWyguy55 won on time","https://www.chess.com/game/live/90861109417"
"19","2023.10.12","BrownInTown94"," 979","dexterdownunder"," 908","60+1","ECO D06","Queens-Gambit-Declined-Marshall-Defense-3.Nc3","1. d4  d5 2. c4  Nf6 3. Nc3  c6 4. Bg5  Bf5 5. Nf3  h6 6. Bh4  e6 7. e3  Bb4 8. cxd5  exd5 9. Bd3  Bxc3+ 10. bxc3  Bxd3 11. Qxd3  O-O 12. O-O  Nbd7 13. Rab1  Rb8 14. a4  c5 15. c4  Qc7 16. Bg3  Qd8 17. Bxb8  Qxb8 18. Rb5  Qc7 19. cxd5  Nxd5 20. Rc1  Rc8 21. Ne5  Nxe5 22. dxe5  Qd7 23. h3  b6 24. e4 1-0","2r3k1/p2q1pp1/1p5p/1RpnP3/P3P3/3Q3P/5PP1/2R3K1 b - -","Termination BrownInTown94 won on time","https://www.chess.com/game/live/90861574271"
"20","2023.10.12","BrownInTown94"," 972","prodbysmr"," 990","60+1","ECO E60","Kings-Indian-Defense","1. d4  Nf6 2. c4  g6 3. Bg5  Bg7 4. Nc3  d6 5. e4  O-O 6. Nf3  Nbd7 7. Be2  h6 8. Bh4  Kh7 9. O-O  b6 10. Rc1  Bb7 11. e5  dxe5 12. dxe5  Ng4 13. Bg3  Ngxe5 14. h4  f5 15. h5  g5 16. Re1  Qe8 17. Qc2  e6 18. Nxe5  Nxe5 19. Bd3  Qxh5 20. Bxe5  Bxe5 21. Rxe5  Qg4 22. g3  Qh3 23. Bf1  Qh1# 0-1","r4r2/pbp4k/1p2p2p/4Rpp1/2P5/2N3P1/PPQ2P2/2R2BKq w - -","Termination prodbysmr won by checkmate","https://www.chess.com/game/live/90873015059"
"21","2023.10.12","BrownInTown94"," 1171","vukzdralevic"," 1216","180+2","ECO D31","Queens-Gambit-Declined-Queens-Knight-Variation-3...Bb4","1. d4  d5 2. c4  e6 3. Nc3  Bb4 4. Bd2  Nf6 5. Nf3  O-O 6. a3  Bxc3 7. Bxc3  Nbd7 8. e3  c5 9. cxd5  Nxd5 10. Bd3  Nxc3 11. bxc3  cxd4 12. cxd4  b6 13. O-O  Bb7 14. Ng5  Qxg5 15. Rc1  Qxg2# 0-1","r4rk1/pb1n1ppp/1p2p3/8/3P4/P2BP3/5PqP/2RQ1RK1 w - -","Termination vukzdralevic won by checkmate","https://www.chess.com/game/live/90873544057"
"22","2023.10.12","BrownInTown94"," 1169","michaelhoover"," 1107","180+2","ECO A41","Modern-Defense","1. d4  d6 2. c4  g6 3. Bg5  Bg7 4. Nf3  Nf6 5. e3  O-O 6. Bd3  Bg4 7. O-O  e5 8. d5  Qe8 9. h3  Bxf3 10. gxf3  e4 11. fxe4  Nxe4 12. Bf4  Bxb2 13. Nd2  Nxd2 14. Qxd2  Bxa1 15. Rxa1  Nd7 16. Qb2  Ne5 17. Bh6  Qe7 18. f4  Rfe8 19. fxe5  dxe5 20. Rf1  Qh4 21. Qf2  f5 22. Qxh4  e4 23. Qf6 1-0","r3r1k1/ppp4p/5QpB/3P1p2/2P1p3/3BP2P/P7/5RK1 b - -","Termination BrownInTown94 won by resignation","https://www.chess.com/game/live/90873603549"
"23","2023.10.12","BrownInTown94"," 972","Austenita"," 892","60+1","ECO A40","Queens-Pawn-Opening-Horwitz-Defense-2.c4","1. d4  e6 2. c4  h6 3. Nc3  g5 4. e4  a6 5. Nf3  Bg7 6. h3  g4 7. hxg4  Nf6 8. g5  hxg5 9. Rxh8+  Bxh8 10. Nxg5  Nc6 11. e5  Ng8 12. Qh5  Qe7 13. Qxh8  Qf8 14. Bf4  Nxd4 15. O-O-O  Nc6 16. f3  b5 17. cxb5  axb5 18. Bxb5  Nb4 19. Nh7  Nxa2+ 20. Kb1  Nxc3+ 21. bxc3  Ba6 22. Nxf8  Bxb5 23. Nxe6  dxe6 24. Qxg8+  Ke7 25. Qxa8  c6 26. Qd8# 1-0","3Q4/4kp2/2p1p3/1b2P3/5B2/2P2P2/6P1/1K1R4 b - -","Termination BrownInTown94 won by checkmate","https://www.chess.com/game/live/90881975371"
"24","2023.10.12","BrownInTown94"," 1180","CRIBEE"," 1170","180+2","ECO B06","Modern-Defense-with-1-e4-2.d4","1. d4  g6 2. e4  Bg7 3. c4  d6 4. Nc3  c5 5. dxc5  Bxc3+ 6. bxc3  Qa5 7. Qd4  e5 8. Qd3  Qxc5 9. Be3  Qc7 10. Nf3  Be6 11. Be2  Nf6 12. Ng5  Bd7 13. O-O  O-O 14. Rfd1  Nxe4 15. Qxe4  f5 16. Qd5+  Kh8 17. Qxd6  Qxd6 18. Rxd6  f4 19. Rxd7  Nxd7 20. Bd2  Rf5 21. Ne4  Rc8 22. Rb1  Rc6 23. Bf3  Nc5 24. Rb5  Nd3 25. Rxb7  Rxc4 26. Nd6  Nc5 27. Rb8+  Kg7 28. Nxc4  e4 29. Bg4  Rd5 30. h3  e3 31. fxe3  fxe3 32. Bxe3  Rd3 33. Bd4+  Rxd4 34. cxd4  Ne4 35. Bf3 1-0","1R6/p5kp/6p1/8/2NPn3/5B1P/P5P1/6K1 b - -","Termination BrownInTown94 won by resignation","https://www.chess.com/game/live/90884337511"
"25","2023.10.13","BrownInTown94"," 990","Jason101263"," 1063","60+1","ECO D20","Queens-Gambit-Accepted-3.Nc3","1. d4  d5 2. c4  dxc4 3. Nc3  b5 4. Nxb5  Ba6 5. Qa4  Bxb5 6. Qxb5+  Qd7 7. Qxc4  Nc6 8. Nf3  e6 9. e3  Bb4+ 10. Bd2  Bxd2+ 11. Nxd2  Nf6 12. Bd3  O-O 13. O-O  Rab8 14. Rac1  Rxb2 15. Qxc6  Qxc6 16. Rxc6  Rxd2 17. Bc4  Nd5 18. Rb1  Rc2 19. Bxd5  exd5 20. Rxc2  Rb8 21. Rxb8# 1-0","1R4k1/p1p2ppp/8/3p4/3P4/4P3/P1R2PPP/6K1 b - -","Termination BrownInTown94 won by checkmate","https://www.chess.com/game/live/90967155961"
"26","2023.10.13","BrownInTown94"," 1211","Evilsamo"," 1156","180+2","ECO A45","Trompowsky-Attack-2...d5","1. d4  Nf6 2. Bg5  d5 3. c4  Ne4 4. Nf3  Bg4 5. Ne5  Nxg5 6. Nxg4  e6 7. Nc3  Nc6 8. e3  Bb4 9. a3  Bxc3+ 10. bxc3  O-O 11. cxd5  Qxd5 12. Be2  Ne4 13. Qc2  f5 14. Ne5  Nxe5 15. dxe5  Qxe5 16. O-O  Qxc3 17. Qa2  Rfe8 18. Rac1  Qd2 19. Bc4  Qxa2 20. Bxa2  c6 21. f3  Nd6 22. Rfd1  Nb5 23. Rd7  Rab8 24. Rcd1  Nc3 25. R1d2  Nxa2 26. Rxa2  Red8 27. Re7  Re8 28. Rd7  Kf8 29. Rad2  h6 30. Rc7  Red8 31. Rdd7  Rxd7 32. Rxd7  b6 33. Rxa7  c5 34. Kf2  c4 35. Ke2  b5 36. Kd2  Rc8 37. Kc3  Ke8 38. Rxg7 1-0","2r1k3/6R1/4p2p/1p3p2/2p5/P1K1PP2/6PP/8 b - -","Termination BrownInTown94 won on time","https://www.chess.com/game/live/90969659491"
"27","2023.10.14","BrownInTown94"," 993","Bobofats"," 1037","60+1","ECO A40","Englund-Gambit-2.dxe5-Nc6-3.Nf3","1. d4  e5 2. dxe5  Nc6 3. Nf3  Bb4+ 4. c3  Ba5 5. Be3  d6 6. exd6  Qxd6 7. Qxd6  cxd6 8. g3  Bg4 9. Bg2  Nf6 10. O-O  h6 11. b4  Bb6 12. a4  Bxe3 13. fxe3  O-O 14. h3  Be6 15. Rd1  Rfd8 16. Nd4  Nxd4 17. exd4  Bc4 18. e3  d5 19. Nd2  Rab8 20. b5  a6 21. e4  axb5 22. exd5  Nxd5 23. Bxd5  Rxd5 24. Nxc4  bxc4 25. Re1  Kf8 26. a5  Ra8 27. Ra4  Rc5 28. Rea1  Rg5 29. Kg2  b5 30. axb6  Rxa4 31. Rxa4  Rb5 32. Rb4  Rc5 33. b7  Rg5 34. b8=Q+  Ke7 35. Qb6  Rf5 36. Rxc4  Rf6 37. Rc7+  Kf8 38. Qb8# 1-0","1Q3k2/2R2pp1/5r1p/8/3P4/2P3PP/6K1/8 b - -","Termination BrownInTown94 won by checkmate","https://www.chess.com/game/live/90982157801"
"28","2023.09.22","BrownInTown94"," 1199","Bangalapesh"," 754","1/604800","ECO D02","Queens-Pawn-Opening-Zukertort-Variation-2...e6-3.Bf4-Bd6","1. d4  d5 2. Nf3  e6 3. Bf4  Bd6 4. Bxd6  Qxd6 5. c4  Qb4+ 6. Nc3  Nf6 7. Qc2  O-O 8. e3  Nc6 9. c5  a6 10. Bd3  g6 11. O-O  Qa5 12. a3  b6 13. b4  Nxb4 14. axb4  Qxb4 15. Rfb1  Qxb1+ 16. Qxb1  bxc5 17. dxc5  c6 18. Ne5  Bd7 19. Qb7  Rfd8 20. Bxa6  Rab8 21. Qc7  Ne8 22. Qa5  f6 23. Nxd7  Rxd7 24. h3  Nc7 25. Be2  Ra8 26. Qxa8+  Nxa8 27. Rxa8+  Kg7 28. Rc8  d4 29. exd4  Rxd4 30. Rxc6  e5 31. Rd6  Kf7 32. Nb5  Ke7 33. Rxd4  exd4 34. Nxd4 1-0","8/4k2p/5pp1/2P5/3N4/7P/4BPP1/6K1 b - - 0 34","Termination BrownInTown94 won by resignation","https://www.chess.com/game/daily/564975939"
"29","2023.10.14","BrownInTown94"," 1001","EvandroLeone"," 955","60+1","ECO A40","Englund-Gambit-2.dxe5-Nc6-3.Nf3-Qe7","1. d4  e5 2. dxe5  Nc6 3. Nf3  Qe7 4. Nc3  Nxe5 5. Ng1  Nf6 6. Nf3  Nxf3+ 7. gxf3  Qd8 8. Bg5  Be7 9. Qd2  d6 10. O-O-O  O-O 11. Rg1  Nd7 12. Bh6  Bf6 13. Ne4  Ne5 14. Qf4  Re8 15. Nxf6+  Qxf6 16. Qxf6 1-0","r1b1r1k1/ppp2ppp/3p1Q1B/4n3/8/5P2/PPP1PP1P/2KR1BR1 b - -","Termination BrownInTown94 won by resignation","https://www.chess.com/game/live/91060166153"
"30","2023.10.14","BrownInTown94"," 992","nakezuma"," 956","60+1","ECO D06","Queens-Gambit-Declined-Marshall-Defense","1. d4  Nf6 2. c4  d5 3. Nc3  dxc4 4. e4  Nbd7 5. Bxc4  b6 6. Qf3  Bb7 7. Bg5  h6 8. Bxf6  Nxf6 9. Nh3  e6 10. O-O  Bb4 11. Qg3  Rc8 12. Qxg7  Rg8 13. Qxh6  Nxe4 14. Nxe4  Bxe4 15. d5  Rxg2+ 16. Kh1  Rg6+ 17. f3  Rxh6 18. fxe4  Rxh3 19. dxe6  fxe6 20. Bxe6  Rb8 21. Bxh3  Qe7 22. Rad1  Qxe4+ 23. Kg1  Bc5+ 24. Rf2  Qg6+ 25. Bg2  Bxf2+ 26. Kxf2  Qc2+ 27. Ke1  Qxg2 28. Rd2  Qg1+ 29. Ke2  Qxh2+ 30. Kd3  Rd8+ 0-1","3rk3/p1p5/1p6/8/8/3K4/PP1R3q/8 w - -","Termination nakezuma won on time","https://www.chess.com/game/live/91060201781"
